architecture,dataset,ratio,method,seed,status,final_acc,compression_ratio,source_file,raw_method
resnet56,cifar100,0.5,GRA-CNN,42,done,69.0400,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s42.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,123,done,68.9300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s123.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,456,done,68.7600,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s456.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,789,done,68.3600,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s789.json,GRA-v7
resnet56,cifar100,0.5,GRA-CNN,1024,done,68.8800,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_GRA-v7_r0.5_s1024.json,GRA-v7
resnet56,cifar100,0.5,CHIP,42,done,68.9000,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s42.json,CHIP
resnet56,cifar100,0.5,CHIP,123,done,68.4900,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s123.json,CHIP
resnet56,cifar100,0.5,CHIP,456,done,68.5300,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s456.json,CHIP
resnet56,cifar100,0.5,CHIP,789,done,68.7500,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s789.json,CHIP
resnet56,cifar100,0.5,CHIP,1024,done,68.6800,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.5_s1024.json,CHIP
resnet56,cifar100,0.5,L1,42,done,69.3000,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s42.json,L1
resnet56,cifar100,0.5,L1,123,done,68.7300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s123.json,L1
resnet56,cifar100,0.5,L1,456,done,69.0300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s456.json,L1
resnet56,cifar100,0.5,L1,789,done,68.7400,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s789.json,L1
resnet56,cifar100,0.5,L1,1024,done,68.8700,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_L1_r0.5_s1024.json,L1
resnet56,cifar100,0.5,Taylor,42,done,68.6900,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s42.json,Taylor
resnet56,cifar100,0.5,Taylor,123,done,68.9700,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s123.json,Taylor
resnet56,cifar100,0.5,Taylor,456,done,68.9100,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s456.json,Taylor
resnet56,cifar100,0.5,Taylor,789,done,68.7600,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s789.json,Taylor
resnet56,cifar100,0.5,Taylor,1024,done,68.8300,1.973133,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.5_s1024.json,Taylor
resnet56,cifar100,0.5,FPGM,42,done,68.5900,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s42.json,FPGM
resnet56,cifar100,0.5,FPGM,123,done,68.6500,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s123.json,FPGM
resnet56,cifar100,0.5,FPGM,456,done,68.7300,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s456.json,FPGM
resnet56,cifar100,0.5,FPGM,789,done,68.5800,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s789.json,FPGM
resnet56,cifar100,0.5,FPGM,1024,done,68.9200,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_FPGM_r0.5_s1024.json,FPGM
resnet56,cifar100,0.5,HRank,42,done,68.9500,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s42.json,HRank
resnet56,cifar100,0.5,HRank,123,done,68.4900,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s123.json,HRank
resnet56,cifar100,0.5,HRank,456,done,68.8000,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s456.json,HRank
resnet56,cifar100,0.5,HRank,789,done,68.7200,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s789.json,HRank
resnet56,cifar100,0.5,HRank,1024,done,68.5200,1.973100,C:\GRA-CNN\experiments\unified_results\resnet56_cifar100_HRank_r0.5_s1024.json,HRank
resnet56,cifar100,0.6,GRA-CNN,42,done,67.4100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s42.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,123,done,67.3700,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s123.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,456,done,67.5600,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s456.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,789,done,67.5200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s789.json,GRA-CHIP-v3
resnet56,cifar100,0.6,GRA-CNN,1024,done,67.4900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.6_s1024.json,GRA-CHIP-v3
resnet56,cifar100,0.6,CHIP,42,done,67.1900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s42.json,CHIP
resnet56,cifar100,0.6,CHIP,123,done,67.5500,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s123.json,CHIP
resnet56,cifar100,0.6,CHIP,456,done,67.6200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s456.json,CHIP
resnet56,cifar100,0.6,CHIP,789,done,67.2100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s789.json,CHIP
resnet56,cifar100,0.6,CHIP,1024,done,67.2400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.6_s1024.json,CHIP
resnet56,cifar100,0.6,L1,42,done,67.7700,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s42.json,L1
resnet56,cifar100,0.6,L1,123,done,67.7400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s123.json,L1
resnet56,cifar100,0.6,L1,456,done,67.8900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s456.json,L1
resnet56,cifar100,0.6,L1,789,done,67.7200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s789.json,L1
resnet56,cifar100,0.6,L1,1024,done,67.5100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.6_s1024.json,L1
resnet56,cifar100,0.6,Taylor,42,done,67.2900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s42.json,Taylor
resnet56,cifar100,0.6,Taylor,123,done,67.1700,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s123.json,Taylor
resnet56,cifar100,0.6,Taylor,456,done,67.3300,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s456.json,Taylor
resnet56,cifar100,0.6,Taylor,789,done,67.5200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s789.json,Taylor
resnet56,cifar100,0.6,Taylor,1024,done,67.4900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.6_s1024.json,Taylor
resnet56,cifar100,0.6,FPGM,42,done,68.1800,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s42.json,FPGM
resnet56,cifar100,0.6,FPGM,123,done,67.9400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s123.json,FPGM
resnet56,cifar100,0.6,FPGM,456,done,68.0400,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s456.json,FPGM
resnet56,cifar100,0.6,FPGM,789,done,67.9900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s789.json,FPGM
resnet56,cifar100,0.6,FPGM,1024,done,67.9600,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.6_s1024.json,FPGM
resnet56,cifar100,0.6,HRank,42,done,66.8100,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s42.json,HRank
resnet56,cifar100,0.6,HRank,123,done,66.5900,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s123.json,HRank
resnet56,cifar100,0.6,HRank,456,done,66.8200,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s456.json,HRank
resnet56,cifar100,0.6,HRank,789,done,66.7800,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s789.json,HRank
resnet56,cifar100,0.6,HRank,1024,done,66.7300,2.422363,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.6_s1024.json,HRank
resnet56,cifar100,0.7,GRA-CNN,42,done,67.8700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s42.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,123,done,67.7200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s123.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,456,done,67.9700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s456.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,789,done,67.5200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s789.json,GRA-CHIP-v3
resnet56,cifar100,0.7,GRA-CNN,1024,done,67.7200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.7_s1024.json,GRA-CHIP-v3
resnet56,cifar100,0.7,CHIP,42,done,67.2400,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s42.json,CHIP
resnet56,cifar100,0.7,CHIP,123,done,67.3500,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s123.json,CHIP
resnet56,cifar100,0.7,CHIP,456,done,67.5400,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s456.json,CHIP
resnet56,cifar100,0.7,CHIP,789,done,67.0200,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s789.json,CHIP
resnet56,cifar100,0.7,CHIP,1024,done,67.0900,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.7_s1024.json,CHIP
resnet56,cifar100,0.7,L1,42,done,67.9700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.7_s42.json,L1
resnet56,cifar100,0.7,L1,123,done,67.9800,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.7_s123.json,L1
resnet56,cifar100,0.7,L1,456,done,67.9700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.7_s456.json,L1
resnet56,cifar100,0.7,L1,789,done,68.0700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.7_s789.json,L1
resnet56,cifar100,0.7,L1,1024,done,67.6800,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.7_s1024.json,L1
resnet56,cifar100,0.7,Taylor,42,done,67.0700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.7_s42.json,Taylor
resnet56,cifar100,0.7,Taylor,123,done,67.5900,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.7_s123.json,Taylor
resnet56,cifar100,0.7,Taylor,456,done,67.2400,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.7_s456.json,Taylor
resnet56,cifar100,0.7,Taylor,789,done,67.4700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.7_s789.json,Taylor
resnet56,cifar100,0.7,Taylor,1024,done,67.0500,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.7_s1024.json,Taylor
resnet56,cifar100,0.7,FPGM,42,done,65.8700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.7_s42.json,FPGM
resnet56,cifar100,0.7,FPGM,123,done,65.6700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.7_s123.json,FPGM
resnet56,cifar100,0.7,FPGM,456,done,65.8400,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.7_s456.json,FPGM
resnet56,cifar100,0.7,FPGM,789,done,65.5500,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.7_s789.json,FPGM
resnet56,cifar100,0.7,FPGM,1024,done,65.7000,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.7_s1024.json,FPGM
resnet56,cifar100,0.7,HRank,42,done,64.7300,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.7_s42.json,HRank
resnet56,cifar100,0.7,HRank,123,done,64.3700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.7_s123.json,HRank
resnet56,cifar100,0.7,HRank,456,done,64.2800,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.7_s456.json,HRank
resnet56,cifar100,0.7,HRank,789,done,64.4400,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.7_s789.json,HRank
resnet56,cifar100,0.7,HRank,1024,done,64.4700,3.224336,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.7_s1024.json,HRank
resnet56,cifar100,0.8,GRA-CNN,42,done,61.5100,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.8_s42.json,GRA-CHIP-v3
resnet56,cifar100,0.8,GRA-CNN,123,done,61.4100,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.8_s123.json,GRA-CHIP-v3
resnet56,cifar100,0.8,GRA-CNN,456,done,61.6700,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.8_s456.json,GRA-CHIP-v3
resnet56,cifar100,0.8,GRA-CNN,789,done,61.4600,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.8_s789.json,GRA-CHIP-v3
resnet56,cifar100,0.8,GRA-CNN,1024,done,61.3800,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.8_s1024.json,GRA-CHIP-v3
resnet56,cifar100,0.8,CHIP,42,done,60.9900,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.8_s42.json,CHIP
resnet56,cifar100,0.8,CHIP,123,done,61.1900,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.8_s123.json,CHIP
resnet56,cifar100,0.8,CHIP,456,done,60.9200,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.8_s456.json,CHIP
resnet56,cifar100,0.8,CHIP,789,done,60.9400,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.8_s789.json,CHIP
resnet56,cifar100,0.8,CHIP,1024,done,60.9200,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.8_s1024.json,CHIP
resnet56,cifar100,0.8,L1,42,done,61.7800,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.8_s42.json,L1
resnet56,cifar100,0.8,L1,123,done,61.8000,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.8_s123.json,L1
resnet56,cifar100,0.8,L1,456,done,61.6200,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.8_s456.json,L1
resnet56,cifar100,0.8,L1,789,done,62.0100,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.8_s789.json,L1
resnet56,cifar100,0.8,L1,1024,done,61.9300,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.8_s1024.json,L1
resnet56,cifar100,0.8,Taylor,42,done,60.3800,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.8_s42.json,Taylor
resnet56,cifar100,0.8,Taylor,123,done,60.3200,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.8_s123.json,Taylor
resnet56,cifar100,0.8,Taylor,456,done,60.1200,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.8_s456.json,Taylor
resnet56,cifar100,0.8,Taylor,789,done,60.1900,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.8_s789.json,Taylor
resnet56,cifar100,0.8,Taylor,1024,done,60.6000,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.8_s1024.json,Taylor
resnet56,cifar100,0.8,FPGM,42,done,60.8200,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.8_s42.json,FPGM
resnet56,cifar100,0.8,FPGM,123,done,61.3000,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.8_s123.json,FPGM
resnet56,cifar100,0.8,FPGM,456,done,61.3300,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.8_s456.json,FPGM
resnet56,cifar100,0.8,FPGM,789,done,61.0600,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.8_s789.json,FPGM
resnet56,cifar100,0.8,FPGM,1024,done,61.0500,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.8_s1024.json,FPGM
resnet56,cifar100,0.8,HRank,42,done,60.3800,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.8_s42.json,HRank
resnet56,cifar100,0.8,HRank,123,done,60.1800,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.8_s123.json,HRank
resnet56,cifar100,0.8,HRank,456,done,60.5400,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.8_s456.json,HRank
resnet56,cifar100,0.8,HRank,789,done,60.6300,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.8_s789.json,HRank
resnet56,cifar100,0.8,HRank,1024,done,60.1900,4.755497,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.8_s1024.json,HRank
resnet56,cifar100,0.9,GRA-CNN,42,done,57.7200,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.9_s42.json,GRA-CHIP-v3
resnet56,cifar100,0.9,GRA-CNN,123,done,57.5300,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.9_s123.json,GRA-CHIP-v3
resnet56,cifar100,0.9,GRA-CNN,456,done,57.5900,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.9_s456.json,GRA-CHIP-v3
resnet56,cifar100,0.9,GRA-CNN,789,done,57.3700,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.9_s789.json,GRA-CHIP-v3
resnet56,cifar100,0.9,GRA-CNN,1024,done,57.3400,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_GRA-CHIP-v3_r0.9_s1024.json,GRA-CHIP-v3
resnet56,cifar100,0.9,CHIP,42,done,56.9600,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.9_s42.json,CHIP
resnet56,cifar100,0.9,CHIP,123,done,56.9200,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.9_s123.json,CHIP
resnet56,cifar100,0.9,CHIP,456,done,57.0800,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.9_s456.json,CHIP
resnet56,cifar100,0.9,CHIP,789,done,56.8600,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.9_s789.json,CHIP
resnet56,cifar100,0.9,CHIP,1024,done,57.0400,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_CHIP_r0.9_s1024.json,CHIP
resnet56,cifar100,0.9,L1,42,done,57.7000,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.9_s42.json,L1
resnet56,cifar100,0.9,L1,123,done,57.8300,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.9_s123.json,L1
resnet56,cifar100,0.9,L1,456,done,57.3800,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.9_s456.json,L1
resnet56,cifar100,0.9,L1,789,done,57.0800,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.9_s789.json,L1
resnet56,cifar100,0.9,L1,1024,done,57.3800,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_L1_r0.9_s1024.json,L1
resnet56,cifar100,0.9,Taylor,42,done,55.6900,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.9_s42.json,Taylor
resnet56,cifar100,0.9,Taylor,123,done,56.0100,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.9_s123.json,Taylor
resnet56,cifar100,0.9,Taylor,456,done,56.6300,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.9_s456.json,Taylor
resnet56,cifar100,0.9,Taylor,789,done,55.9700,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.9_s789.json,Taylor
resnet56,cifar100,0.9,Taylor,1024,done,55.7400,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_Taylor_r0.9_s1024.json,Taylor
resnet56,cifar100,0.9,FPGM,42,done,50.2000,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.9_s42.json,FPGM
resnet56,cifar100,0.9,FPGM,123,done,50.3100,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.9_s123.json,FPGM
resnet56,cifar100,0.9,FPGM,456,done,50.4300,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.9_s456.json,FPGM
resnet56,cifar100,0.9,FPGM,789,done,50.9900,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.9_s789.json,FPGM
resnet56,cifar100,0.9,FPGM,1024,done,49.8600,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_FPGM_r0.9_s1024.json,FPGM
resnet56,cifar100,0.9,HRank,42,done,47.7000,9.293311,C:\GRA-CNN\experiments\chip_results\resnet56_cifar100_HRank_r0.9_s42.json,HRank
